name,desc,latitude,longitude,transect,elevation
K070PARK,K070PARK,-18.202239,145.885033,K,70
K150ACCESS,K150ACCESS,-18.19587696,145.868966,K,150
K230ACCESS,K230ACCESS,-18.19790999,145.858963,K,230
LOGGERK310,LOGGERK310,-18.19877802,145.852627,K,310
K390PARK,K390PARK,-18.19969903,145.838313,K,390
LOGGERK570,LOGGERK570,-18.20124096,145.820423,K,570
K670S,K670S,-18.21116203,145.807651,K,670
LOGGERK730,LOGGERK730,-18.21086699,145.791989,K,730
P090PARK,P090PARK,-18.99217403,146.291088,P,90
P250PARK,P250PARK,-19.008262,146.278235,P,250
P350END,P350END,-19.01432002,146.265586,P,350
P505ACCESS,P505ACCESS,-19.00023599,146.260117,P,505
P590PARK,P590PARK,-19.00147903,146.246104,P,590
P650END,P650END,-19.00248301,146.236515,P,650
LOGGERP780,LOGGERP780,-19.00866701,146.226926,P,780
P880,P880,-19.00642502,146.212205,P,880
LOGGERP070,LOGGERP070,-18.98369104,146.235022,P,70
