SampleID,Transect,Site,ExposureLength,TrapID,Host,Parasitoid,Diagram ShortCode,Parasitised,Group
42,Paluma,P880,short,B3,rubida,Leptolamina sp. 1,LM1,TRUE,Enriching
43,Paluma,P880,short,B3,NA,Unparasitised,NA,FALSE,Screen Only
44,Paluma,P880,short,B3,NA,Unparasitised,NA,FALSE,Screen Only
45,Paluma,P880,short,B3,NA,Unparasitised,NA,FALSE,Screen Only
46,Paluma,P880,short,B3,birchii,Ganaspis sp. 1,G1,TRUE,Enriching
47,Paluma,P880,short,B3,NA,Unparasitised,NA,FALSE,Screen Only
48,Paluma,P880,short,B3,NA,Unparasitised,NA,FALSE,Screen Only
49,Paluma,P880,short,B3,NA,Unparasitised,NA,FALSE,Screen Only
50,Paluma,P880,short,B15,rubida,Unparasitised,NA,FALSE,Core
51,Paluma,P880,short,B15,NA,Unparasitised,NA,FALSE,Screen Only
53,Paluma,P880,short,B15,pallidifrons,Unparasitised,NA,FALSE,Core
54,Paluma,P880,short,B15,NA,Unparasitised,NA,FALSE,Screen Only
55,Paluma,P880,short,B15,pallidifrons,Unparasitised,NA,FALSE,Core
56,Paluma,P880,short,B15,NA,Unparasitised,NA,FALSE,Screen Only
57,Paluma,P880,short,B15,NA,Unparasitised,NA,FALSE,Screen Only
60,Paluma,P880,short,B11,NA,Unparasitised,NA,FALSE,Screen Only
61,Paluma,P880,short,B11,birchii,Leptolamina sp. 1,LM1,TRUE,Enriching
62,Paluma,P880,short,B11,NA,Unparasitised,NA,FALSE,Screen Only
63,Paluma,P880,short,B11,pseudotakahashii,Pteromalidae sp. 1,P1,TRUE,Enriching
66,Paluma,P880,short,B1,NA,Unparasitised,NA,FALSE,Screen Only
67,Paluma,P880,short,B1,NA,Unparasitised,NA,FALSE,Screen Only
70,Paluma,P880,short,B1,NA,Leptolamina sp. 1,LM1,TRUE,Screen Only
72,Paluma,P880,short,B1,NA,Unparasitised,NA,FALSE,Screen Only
74,Paluma,P880,short,B9,NA,Unparasitised,NA,FALSE,Screen Only
76,Paluma,P880,short,B9,pallidifrons,Diapriidae sp. 2,D2,TRUE,Enriching
79,Paluma,P880,short,B9,NA,Unparasitised,NA,FALSE,Screen Only
82,Paluma,P880,short,B5,pseudotakahashii,Diapriidae sp. 2,D2,TRUE,Enriching
83,Paluma,P880,short,B5,birchii,Unparasitised,NA,FALSE,Core
85,Paluma,P880,short,B5,NA,Unparasitised,NA,FALSE,Screen Only
87,Paluma,P880,short,B5,NA,Unparasitised,NA,FALSE,Screen Only
88,Paluma,P880,short,B5,pallidifrons,Unparasitised,NA,FALSE,Core
89,Paluma,P880,short,B5,rubida,Unparasitised,NA,FALSE,Core
98,Kirrama,K070,short,B5,NA,Unparasitised,NA,FALSE,Screen Only
99,Kirrama,K070,short,B5,NA,Unparasitised,NA,FALSE,Screen Only
100,Kirrama,K070,short,B5,NA,Unparasitised,NA,FALSE,Screen Only
101,Kirrama,K070,short,B5,NA,Unparasitised,NA,FALSE,Screen Only
102,Kirrama,K070,short,B5,NA,Unparasitised,NA,FALSE,Screen Only
103,Kirrama,K070,short,B5,NA,Unparasitised,NA,FALSE,Screen Only
104,Kirrama,K070,short,B5,NA,Unparasitised,NA,FALSE,Screen Only
105,Kirrama,K070,short,B5,NA,Unparasitised,NA,FALSE,Screen Only
106,Kirrama,K070,short,B15,NA,Unparasitised,NA,FALSE,Core
107,Kirrama,K070,short,B15,pseudoananassae,Unparasitised,NA,FALSE,Core
112,Kirrama,K070,short,B15,NA,Unparasitised,NA,FALSE,Core
211,Paluma,P250,long,B6,NA,Unparasitised,NA,TRUE,Screen Only
212,Paluma,P250,long,B6,NA,Unparasitised,NA,FALSE,Screen Only
214,Paluma,P250,long,B6,NA,Unparasitised,NA,TRUE,Screen Only
218,Paluma,P250,long,B14,NA,Unparasitised,NA,FALSE,Screen Only
222,Paluma,P250,long,B14,NA,Unparasitised,NA,TRUE,Screen Only
229,Paluma,P250,medium,B15,NA,Unparasitised,NA,FALSE,Screen Only
231,Paluma,P250,medium,B15,NA,Unparasitised,NA,FALSE,Screen Only
232,Paluma,P250,medium,B15,NA,Unparasitised,NA,FALSE,Screen Only
234,Paluma,P250,long,B12,NA,Unparasitised,NA,FALSE,Screen Only
244,Paluma,P250,medium,B5,NA,Unparasitised,NA,FALSE,Screen Only
258,Paluma,P880,long,B8,NA,Unparasitised,NA,FALSE,Core
259,Paluma,P880,long,B8,pallidifrons,Ganaspis sp. 1,G1,TRUE,Core
260,Paluma,P880,long,B8,pallidifrons,Unparasitised,NA,FALSE,Core
261,Paluma,P880,long,B8,pallidifrons,Unparasitised,NA,FALSE,Core
262,Paluma,P880,long,B8,NA,Unparasitised,NA,FALSE,Core
263,Paluma,P880,long,B8,immigrans,Pteromalidae sp. 1,P1,TRUE,Core
265,Paluma,P880,long,B8,NA,Unparasitised,NA,FALSE,Screen Only
266,Paluma,P880,long,B4,rubida,Leptolamina sp. 1,LM1,TRUE,Core
267,Paluma,P880,long,B4,rubida,Leptolamina sp. 1,LM1,TRUE,Enriching
270,Paluma,P880,long,B4,pallidifrons,Unparasitised,NA,FALSE,Core
271,Paluma,P880,long,B4,NA,Unparasitised,NA,FALSE,Screen Only
