SampleID,Transect,Site,extracted,ExposureLength,TrapID,P_summary,Host,Parasitoid,Core,ReplacemeSequencet,BothAvailable
22582,Kirrama,K070,yes,10.1,B1,y,rubida,Asobara PV20,yes,Sequence,yes
43,Paluma,P880,yes,10.1,B3,NA,NA,NA,NA,Extra,NA
44,Paluma,P880,yes,10.1,B3,NA,NA,NA,NA,Screen,NA
45,Paluma,P880,yes,10.1,B3,NA,NA,NA,NA,Extra,NA
46,Paluma,P880,yes,10.1,B3,y,birchii,Ganaspis cutiepie,NA,Screen,yes
47,Paluma,P880,yes,10.1,B3,NA,NA,NA,NA,Extra,NA
48,Paluma,P880,yes,10.1,B3,NA,NA,NA,NA,Sequence,NA
49,Paluma,P880,yes,10.1,B3,NA,NA,NA,NA,Screen,NA
50,Paluma,P880,yes,10.1,B15,NA,rubida,NA,yes,Extra,NA
51,Paluma,P880,yes,10.1,B15,NA,NA,NA,NA,Sequence,NA
52,Paluma,P880,NA,10.1,B15,NA,NA,NA,NA,Sequence,NA
7876,Paluma,P880,yes,10.1,B15,NA,rubida,NA,yes,Extra,NA
54,Paluma,P880,yes,10.1,B15,NA,NA,NA,NA,Screen,NA
26172,Kirrama,K070,yes,10.1,B13,NA,NA,NA,yes,Sequence,NA
56,Paluma,P880,yes,10.1,B15,NA,NA,NA,NA,Sequence,NA
57,Paluma,P880,yes,10.1,B15,NA,NA,NA,NA,Sequence,NA
58,Paluma,P880,NA,10.1,B11,NA,NA,NA,NA,Sequence,NA
59,Paluma,P880,NA,10.1,B11,NA,NA,NA,NA,Extra,NA
60,Paluma,P880,yes,10.1,B11,NA,NA,NA,NA,Screen,NA
61,Paluma,P880,yes,10.1,B11,y,birchii,"HYM_our064,Figitidae,Leptolamina,(lamina),L160",NA,Screen,yes
62,Paluma,P880,yes,10.1,B11,NA,NA,NA,NA,Screen,NA
63,Paluma,P880,yes,10.1,B11,y,pseudotakahashii,"HYM_our068,Pteromalidae,,,K730",NA,Sequence,yes
64,Paluma,P880,NA,10.1,B11,NA,NA,NA,NA,Sequence,NA
65,Paluma,P880,NA,10.1,B11,NA,NA,NA,NA,Extra,NA
66,Paluma,P880,yes,10.1,B1,NA,NA,NA,NA,Screen,NA
67,Paluma,P880,yes,10.1,B1,NA,NA,NA,NA,Screen,NA
68,Paluma,P880,NA,10.1,B1,NA,NA,NA,NA,Extra,NA
69,Paluma,P880,NA,10.1,B1,NA,NA,NA,NA,Extra,NA
70,Paluma,P880,yes,10.1,B1,y,NA,"HYM_our064,Figitidae,Leptolamina,(lamina),L160",NA,Sequence,NA
71,Paluma,P880,NA,10.1,B1,NA,NA,NA,NA,Extra,NA
