Date,Temp,Humidity,SerialNumber,Site,Trap,Transect
2016-03-10T15:29:09Z,26,67.5,010185374,P880,B6,P
2016-03-10T16:29:09Z,25,70.5,010185374,P880,B6,P
2016-03-10T17:29:09Z,26,67,010185374,P880,B6,P
2016-03-10T18:29:09Z,25.5,64.5,010185374,P880,B6,P
2016-03-10T19:29:09Z,26.5,63,010185374,P880,B6,P
2016-03-10T20:29:09Z,26,63,010185374,P880,B6,P
2016-03-10T21:29:09Z,26,64,010185374,P880,B6,P
2016-03-10T22:29:09Z,26,64,010185374,P880,B6,P
2016-03-10T23:29:09Z,26,65,010185374,P880,B6,P
2016-03-11T00:29:09Z,26.5,65.5,010185374,P880,B6,P
2016-03-11T01:29:09Z,26.5,65,010185374,P880,B6,P
2016-03-11T02:29:09Z,26,65.5,010185374,P880,B6,P
2016-03-11T03:29:09Z,25.5,65.5,010185374,P880,B6,P
2016-03-11T04:29:09Z,25.5,66.5,010185374,P880,B6,P
2016-03-11T05:29:09Z,25.5,66.5,010185374,P880,B6,P
2016-03-11T06:29:09Z,25.5,67,010185374,P880,B6,P
2016-03-11T07:29:09Z,25.5,67,010185374,P880,B6,P
2016-03-11T08:29:09Z,26,66,010185374,P880,B6,P
2016-03-11T09:29:09Z,26,64.5,010185374,P880,B6,P
2016-03-11T10:29:09Z,26.5,63,010185374,P880,B6,P
2016-03-11T11:29:09Z,29.5,60,010185374,P880,B6,P
2016-03-11T12:29:09Z,27,55.5,010185374,P880,B6,P
2016-03-11T13:29:09Z,26.5,68,010185374,P880,B6,P
2016-03-11T14:29:09Z,23,85.5,010185374,P880,B6,P
2016-03-11T15:29:09Z,21.5,94.5,010185374,P880,B6,P
2016-03-11T16:29:09Z,21.5,95,010185374,P880,B6,P
2016-03-11T17:29:09Z,21.5,96,010185374,P880,B6,P
2016-03-11T18:29:09Z,21,97,010185374,P880,B6,P
2016-03-11T19:29:09Z,21,98,010185374,P880,B6,P
2016-03-11T20:29:09Z,21,98.5,010185374,P880,B6,P
2016-03-11T21:29:09Z,20.5,99,010185374,P880,B6,P
2016-03-11T22:29:09Z,20.5,99,010185374,P880,B6,P
2016-03-11T23:29:09Z,20.5,99.5,010185374,P880,B6,P
2016-03-12T00:29:09Z,20.5,100,010185374,P880,B6,P
2016-03-12T01:29:09Z,20.5,100,010185374,P880,B6,P
2016-03-12T02:29:09Z,20,100,010185374,P880,B6,P
2016-03-12T03:29:09Z,20,100.5,010185374,P880,B6,P
2016-03-12T04:29:09Z,20,100,010185374,P880,B6,P
2016-03-12T05:29:09Z,20,100.5,010185374,P880,B6,P
2016-03-12T06:29:09Z,20,100.5,010185374,P880,B6,P
2016-03-12T07:29:09Z,20.5,100.5,010185374,P880,B6,P
2016-03-12T08:29:09Z,20.5,101,010185374,P880,B6,P
2016-03-12T09:29:09Z,21,100.5,010185374,P880,B6,P
2016-03-12T10:29:09Z,21.5,100.5,010185374,P880,B6,P
2016-03-12T11:29:09Z,21.5,100.5,010185374,P880,B6,P
2016-03-12T12:29:09Z,21.5,101,010185374,P880,B6,P
